"constraint_name","table_name","column_name","foreign_table_name","foreign_column_name"
"auth_group_permissio_permission_id_84c5c92e_fk_auth_perm","auth_group_permissions","permission_id","auth_permission","id"
"auth_group_permissions_group_id_b120cbf9_fk_auth_group_id","auth_group_permissions","group_id","auth_group","id"
"auth_permission_content_type_id_2f476e4b_fk_django_co","auth_permission","content_type_id","django_content_type","id"
"auth_user_groups_group_id_97559544_fk_auth_group_id","auth_user_groups","group_id","auth_group","id"
"auth_user_groups_user_id_6a12ed8b_fk_auth_user_id","auth_user_groups","user_id","auth_user","id"
"auth_user_user_permi_permission_id_1fbb5f2c_fk_auth_perm","auth_user_user_permissions","permission_id","auth_permission","id"
"auth_user_user_permissions_user_id_a95ead1b_fk_auth_user_id","auth_user_user_permissions","user_id","auth_user","id"
"cocoaApp_cooperative_producteur_id_fk","cocoaApp_cooperativeproducteur","producteur_id","cocoaApp_producteur","id_producteur"
"cocoaApp_lot_parcelle_id_fk_cocoaApp_parcelle_id_parcelle","cocoaApp_lot","parcelle_id","cocoaApp_parcelle","id_parcelle"
"cocoaApp_lot_producteur_id_fk","cocoaApp_lot","producteur_id","cocoaApp_producteur","id_producteur"
"cocoaApp_lot_sac_id_9884a11c_fk_cocoaApp_sac_id","cocoaApp_lot","sac_id","cocoaApp_sac","id"
"cocoaApp_parcelle_producteur_id_fk","cocoaApp_parcelle","producteur_id","cocoaApp_producteur","id_producteur"
"cocoaApp_sac_acheteur_id_8647ce16_fk_cocoaApp_acheteur_id","cocoaApp_sac","acheteur_id","cocoaApp_acheteur","id"
"django_admin_log_content_type_id_c4bce8eb_fk_django_co","django_admin_log","content_type_id","django_content_type","id"
"django_admin_log_user_id_c564eba6_fk_auth_user_id","django_admin_log","user_id","auth_user","id"
"cocoaApp_cooperative_cooperative_id_85f11add_fk_cocoaApp_","cocoaApp_cooperativeproducteur","cooperative_id","cocoaApp_cooperative","id_coop"
"cocoaApp_lot_cooperative_id_53521554_fk_cocoaApp_cooperative_id","cocoaApp_lot","cooperative_id","cocoaApp_cooperative","id_coop"
